5/11/2017 12:11:22 AM	Stock1	100	3675/11/2017 12:13:41 AM	Stock2	10	26
5/11/2017 12:13:58 AM	Stock2	10	84
5/11/2017 12:13:59 AM	Stock1	100	273
5/11/2017 12:13:59 AM	Stock3	1000	1173
5/11/2017 12:13:59 AM	Stock2	10	84
5/11/2017 12:13:59 AM	Stock1	100	278
5/11/2017 12:13:59 AM	Stock3	1000	1178
5/11/2017 12:13:59 AM	Stock2	10	86
5/11/2017 12:14:00 AM	Stock1	100	285
5/11/2017 12:14:00 AM	Stock3	1000	1185
5/11/2017 12:14:00 AM	Stock2	10	89
5/11/2017 12:14:00 AM	Stock1	100	294
5/11/2017 12:14:00 AM	Stock3	1000	1194
5/11/2017 12:14:00 AM	Stock2	10	93
5/11/2017 12:14:01 AM	Stock1	100	295
5/11/2017 12:14:01 AM	Stock3	1000	1195
5/11/2017 12:14:01 AM	Stock2	10	93
5/11/2017 12:14:01 AM	Stock1	100	299
5/11/2017 12:14:01 AM	Stock3	1000	1199
5/11/2017 12:14:02 AM	Stock2	10	95
5/11/2017 12:14:02 AM	Stock1	100	303
5/11/2017 12:14:02 AM	Stock3	1000	1203
5/11/2017 12:14:02 AM	Stock2	10	97
5/11/2017 12:14:02 AM	Stock1	100	307
5/11/2017 12:14:02 AM	Stock3	1000	1207
5/11/2017 12:14:03 AM	Stock2	10	99
5/11/2017 12:14:03 AM	Stock1	100	312
5/11/2017 12:14:03 AM	Stock2	10	101
5/11/2017 12:14:03 AM	Stock3	1000	1216
5/11/2017 12:14:04 AM	Stock2	10	103
5/11/2017 12:14:04 AM	Stock1	100	319
5/11/2017 12:14:04 AM	Stock2	10	104
5/11/2017 12:14:05 AM	Stock1	100	324
5/11/2017 12:14:05 AM	Stock2	10	106
5/11/2017 12:14:05 AM	Stock3	1000	1226
5/11/2017 12:14:05 AM	Stock2	10	107
5/11/2017 12:14:06 AM	Stock1	100	327
5/11/2017 12:14:06 AM	Stock2	10	107
5/11/2017 12:14:06 AM	Stock1	100	330
5/11/2017 12:14:06 AM	Stock2	10	108
5/11/2017 12:14:07 AM	Stock3	1000	1235
5/11/2017 12:14:07 AM	Stock1	100	335
5/11/2017 12:14:07 AM	Stock2	10	110
5/11/2017 12:14:07 AM	Stock3	1000	1235
5/11/2017 12:14:07 AM	Stock1	100	335
5/11/2017 12:14:07 AM	Stock2	10	110
